en,tr
pleasure,zevk
bloody,kanlı
college,üniversite
french,Fransızca
involved,dahil olmuş
cry,ağlamak
became,oldu
lived,yaşadı
impossible,imkansız
obviously,açıkça
neither,hiç biri
accept,kabul etmek
boyfriend,erkek arkadaş
besides,Ayrıca
queen,kraliçe
teacher,Öğretmen
cops,polisler
sake,hatır
loves,aşk
carry,taşımak
teach,öğretmek
apartment,daire
upset,üzgün
green,yeşil
la,la
liked,beğendi
cute,Sevimli
evil,fenalık
professor,profesör
contact,temas etmek
joke,şaka
cop,polis
huge,büyük
holy,kutsal
store,mağaza
jail,hapishane
likes,beğeniler
lawyer,avukat
doubt,şüphe
continue,devam etmek
appreciate,takdirle karşılamak
cat,kedi
shop,mağaza
driving,sürüş
congratulations,Tebrikler
wrote,yazdı
village,köy
quit,çıkış yapmak
field,alan
james,James
wine,şarap
decision,karar
south,güney
sleeping,uyku
slow,yavaş
laughter,kahkaha
island,ada
glass,bardak
beginning,başlangıç
cash,peşin
dying,ölme
hundred,yüz
whose,kimin
difference,fark
plane,uçak
push,itmek
continues,devam ediyor
mmm,mmm
singing,şarkı söylemek
eating,yemek
north,kuzey
mrs,bayan
tree,ağaç
madam,hanımefendi
gift,hediye
truck,kamyon
putting,koymak
bear,ayı
board,pano
grab,yakalamak
beer,bira
stuck,sıkışmak
magic,büyü
support,Destek
rules,tüzük
grunts,homurdanmalar
partner,ortak
reach,ulaşmak
wind,rüzgâr
colonel,albay
max,maksimum
immediately,hemen
seconds,saniyeler
thousand,bin
gives,verir
experience,deneyim
cheers,şerefe
victim,kurban
upon,üzerine
computer,bilgisayar
christ,İsa
planet,gezegen
promised,söz verdi
bus,otobüs
henry,Henry
dirty,kirli
search,aramak
staying,kalmak
dreams,rüyalar
arrest,tutuklamak
holding,tutma
suddenly,Birden
usually,genellikle
lots,çok sayıda
shoes,ayakkabı
er,er
jump,zıplamak
rid,kurtul
yo,yo
knock,vur
owe,sahip olmak
harry,Harry
grow,büyümek
worst,en kötüsü
river,nehir
aunt,hala
patient,hasta
kitchen,mutfak
aah,ah
fat,yağ
passed,geçti
m,M
final,son
summer,yaz
bob,Bob
listening,dinleme
escape,kaçmak
everywhere,her yer
moon,ay
arms,kollar
turns,dönüşler
address,adres
ow,şimdi
match,kibrit
gasps,nefes nefese
grand,büyük
yep,Evet
shh,şşş
nervous,gergin
de,de
choose,seçmek
themselves,kendileri
decide,karar vermek
mate,mat
drinking,içme
press,basmak
bother,rahatsız etmek
foot,ayak
hadn,sahip değildi
blame,suçlamak
crap,saçmalık
drugs,ilaçlar
type,tip
rings,yüzükler
mission,misyon
named,adı
heaven,cennet
ii,ii
picked,seçildi
paris,Paris
race,ırk
risk,risk
books,kitaplar
further,daha öte
danny,Danny
action,aksiyon
allowed,izin verilmiş
orders,siparişler
learned,öğrendi
price,fiyat
arrived,ulaşmış
nick,Nick
otherwise,aksi takdirde
pictures,resimler
fit,yerleştirmek
smoke,duman
favor,iyilik
played,oynandı
notice,fark etme
awesome,Mükemmel
smile,gülümsemek
director,müdür
guard,koruma
begin,başlamak
spot,leke
surprised,şaşırmış
innocent,masum
narrator,anlatıcı
herself,kendini
london,Londra
feelings,hisler
enemy,düşman
battle,savaş
ourselves,kendimizi
alex,Alex
dollars,dolar
allow,izin vermek
nine,dokuz
gay,eşcinsel
department,departman
guilty,suçlu
apart,ayrı
earlier,daha önce
duty,görev
jim,Jim
suit,uygun olmak
bell,zil
west,batı
legs,bacaklar
hero,kahraman
destroy,tahrip etmek
stage,sahne
bunch,demet
according,binaen
chicken,tavuk
bigger,daha büyük
grunting,homurdanma
low,Düşük
helping,yardım etmek
admit,itiraf etmek
closed,kapalı
names,isimler
witness,tanık
upstairs,üst katta
arm,kol
steal,hırsızlık yapmak
jimmy,Jimmy
kick,tekme atmak
twice,iki kere
cross,geçmek
ways,yollar
sergeant,çavuş
indeed,Aslında
gas,gaz
keeping,tutmak
energy,enerji
pregnant,hamile
waste,atık
helped,yardımcı oldu
fired,kovuldu
favorite,favori
tony,Tony
taste,tatmak
locked,kilitli
places,yer
writing,yazma
adam,Adam
brothers,kardeşler
starts,başlar
prince,prens
form,biçim
sold,satılmış
silly,şapşal
mention,değinmek
build,inşa etmek
throat,boğaz
hole,delik
figured,hesapladı
track,izlemek
ringing,zil sesi
lock,kilit
leg,bacak
above,üstünde
hiding,saklanıyor
steve,Steve
seemed,göründü
breakfast,kahvaltı
engine,motor
written,yazılı
complete,tamamlamak
video,video
applause,alkış
however,Yine de
pressure,basınç
fresh,taze
weapon,silah
sky,gökyüzü
ms.,Bayan
stole,çaldı
study,çalışmak
burn,yakmak
reading,okuma
crowd,kalabalık
treat,davranmak
roll,rulo
double,çift
spirit,ruh
danger,tehlike
cost,maliyet
empty,boş
level,seviye
memory,hafıza
itself,kendisi
acting,oyunculuk
interest,faiz
nose,burun
plans,planlar
following,takip etme
bathroom,banyo
built,inşa edildi
closer,daha yakın
ray,ışın
sarah,Sarah
band,bant
groans,inlemeler
apparently,görünüşe göre
excited,heyecanlı
richard,Richard
losing,kaybetmek
animals,hayvanlar
flight,uçuş
nature,doğa
raise,artırmak
pop,pop
client,müşteri
bomb,bomba
neck,boyun
suspect,şüphelenmek
warm,ılık
extra,ekstra
bottle,şişe
van,van
heavy,ağır
mommy,anne
dogs,köpekler
wild,vahşi
ridiculous,saçma
simply,basitçe
lee,Lee
animal,hayvan
showed,gösterdi
billy,Billy
shooting,çekim
keeps,muhafaza eder
camp,kamp
guns,silahlar
medical,tıbbi
shame,utanç
hoping,umutlu
whom,kime
bird,kuş
majesty,ihtişam
flowers,çiçekler
famous,ünlü
asleep,uyuya kalmak
beauty,güzellik
driver,sürücü
keys,anahtarlar
rain,yağmur
awful,berbat
large,büyük
local,yerel
deserve,hak etmek
goddamn,kahretsin
stone,taş
jane,Jane
grace,lütuf
consider,dikkate almak
weekend,hafta sonu
wondering,merak ediyorum
lay,sermek
plenty,bolca
willing,hevesli
pants,pantolon
sweetheart,Tatlım
skin,deri
excellent,harika
asshole,Pislik
beach,sahil
c,C
faith,inanç
beg,yalvarmak
fuckin,kahretsin
responsible,sorumlu
military,askeri
cheering,tezahürat
opportunity,fırsat
common,yaygın
bottom,alt
german,Almanca
whoever,kim olursa olsun
cook,aşçı
walked,yürüdü
papers,makaleler
justice,adalet
hall,salon
commander,komutan
drug,ilaç
main,ana
knife,bıçak
devil,şeytan
necessary,gerekli
although,rağmen
princess,prenses
lights,ışıklar
flying,uçan
dick,penis
rose,gül
knowing,bilmek
clearly,açıkça
hat,şapka
agreed,kabul edildi
johnny,Johnny
corner,köşe
code,kod
note,Not
tommy,Tommy
due,vadesi dolmuş
correct,doğru
apologize,özür dilemek
language,dil
stars,yıldızlar
faster,Daha hızlı
cars,arabalar
folks,insanlar
bullshit,saçmalık
i.,Ben.
fellow,aynı tür
several,birçok
grandma,büyükanne
shows,gösteriler
leader,lider
leaves,yapraklar
restaurant,restoran
east,doğu
shouting,bağırmak
blind,kör
ghost,hayalet
cup,bardak
gotten,alındı
tight,sıkı
conversation,konuşma
tells,anlatıyor
lies,yalanlar
nor,ne de
pulled,çekildi
hanging,asılı
speed,hız
stories,hikayeler
health,sağlık
advice,tavsiye
held,tutulmuş
uh-huh,Hı hı
murdered,öldürülmüş
beyond,öte
rule,kural
hardly,zorlu
possibly,muhtemelen
inspector,müfettiş
cousin,kuzen
trial,duruşma
emergency,acil durum
ought,gerek
eddie,Eddie
somehow,bir şekilde
hearing,işitme
states,eyaletler
account,hesap
spoke,konuştu
file,dosya
understood,anlaşıldı
angel,melek
tape,kaset
milk,süt
powerful,güçlü
weapons,silahlar
practice,pratik
manager,müdür
pardon,bağışlamak
vote,oy
jake,Jake
national,ulusal
career,kariyer
minister,bakan
super,süper
taught,öğretilen
robert,Robert
